,DECISION 1,chi_d,federico_d,kari_d,katrina_d,sofija_d,thu_d,delaney_d,num_acc,num_rej,,
47,REJECTED,REJECTED,ACCEPTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,1,6,REJECTED,
48,REJECTED,REJECTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,5,2,ACCEPTED,
49,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,ACCEPTED,6,1,ACCEPTED,
50,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
51,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
52,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
53,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,REJECTED,REJECTED,REJECTED,1,6,REJECTED,
54,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
55,REJECTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,5,2,ACCEPTED,
56,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
57,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,1,6,REJECTED,
58,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
59,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,REJECTED,ACCEPTED,4,3,ACCEPTED,
60,REJECTED,REJECTED,ACCEPTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,1,6,REJECTED,
61,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,REJECTED,ACCEPTED,4,3,ACCEPTED,
62,REJECTED,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,REJECTED,REJECTED,REJECTED,3,4,REJECTED,
63,REJECTED,REJECTED,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,5,2,ACCEPTED,
64,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
65,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,REJECTED,REJECTED,REJECTED,1,6,REJECTED,
66,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
67,REJECTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,REJECTED,ACCEPTED,4,3,ACCEPTED,
68,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,ACCEPTED,REJECTED,REJECTED,2,5,REJECTED,
69,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,REJECTED,ACCEPTED,2,5,REJECTED,
70,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
